,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
20,"[0, '0.296', '0.842', '0.000']","[1, '0.364', '0.796', '-0.026']","[2, '0.422', '0.715', '-0.041']","[3, '0.464', '0.651', '-0.059']","[4, '0.507', '0.603', '-0.075']","[5, '0.357', '0.575', '-0.016']","[6, '0.415', '0.509', '-0.051']","[7, '0.464', '0.537', '-0.069']","[8, '0.496', '0.573', '-0.079']","[9, '0.313', '0.545', '-0.033']","[10, '0.324', '0.415', '-0.061']","[11, '0.342', '0.326', '-0.086']","[12, '0.352', '0.246', '-0.108']","[13, '0.269', '0.557', '-0.057']","[14, '0.243', '0.428', '-0.089']","[15, '0.239', '0.334', '-0.113']","[16, '0.240', '0.249', '-0.131']","[17, '0.231', '0.600', '-0.086']","[18, '0.188', '0.514', '-0.117']","[19, '0.165', '0.445', '-0.135']","[20, '0.151', '0.376', '-0.147']"
21,"[0, '0.439', '0.676', '0.000']","[1, '0.503', '0.666', '-0.015']","[2, '0.564', '0.628', '-0.025']","[3, '0.615', '0.597', '-0.037']","[4, '0.664', '0.576', '-0.048']","[5, '0.543', '0.495', '-0.000']","[6, '0.609', '0.471', '-0.024']","[7, '0.644', '0.510', '-0.038']","[8, '0.663', '0.552', '-0.045']","[9, '0.522', '0.455', '-0.014']","[10, '0.566', '0.365', '-0.032']","[11, '0.606', '0.308', '-0.050']","[12, '0.640', '0.262', '-0.066']","[13, '0.489', '0.444', '-0.034']","[14, '0.506', '0.337', '-0.054']","[15, '0.531', '0.270', '-0.070']","[16, '0.558', '0.218', '-0.082']","[17, '0.455', '0.456', '-0.057']","[18, '0.446', '0.374', '-0.077']","[19, '0.455', '0.321', '-0.087']","[20, '0.473', '0.276', '-0.095']"
22,"[0, '0.315', '0.746', '0.000']","[1, '0.356', '0.697', '-0.007']","[2, '0.375', '0.635', '-0.008']","[3, '0.384', '0.575', '-0.012']","[4, '0.391', '0.523', '-0.015']","[5, '0.308', '0.583', '0.023']","[6, '0.327', '0.529', '0.015']","[7, '0.358', '0.513', '0.010']","[8, '0.387', '0.510', '0.007']","[9, '0.281', '0.572', '0.015']","[10, '0.271', '0.501', '0.014']","[11, '0.278', '0.451', '0.005']","[12, '0.285', '0.411', '-0.003']","[13, '0.258', '0.576', '0.003']","[14, '0.231', '0.512', '-0.002']","[15, '0.225', '0.462', '-0.011']","[16, '0.226', '0.420', '-0.017']","[17, '0.242', '0.595', '-0.012']","[18, '0.205', '0.553', '-0.019']","[19, '0.190', '0.518', '-0.025']","[20, '0.184', '0.485', '-0.029']"
23,"[0, '0.211', '0.817', '0.000']","[1, '0.268', '0.782', '-0.029']","[2, '0.315', '0.714', '-0.044']","[3, '0.342', '0.652', '-0.058']","[4, '0.368', '0.596', '-0.071']","[5, '0.277', '0.599', '-0.014']","[6, '0.313', '0.533', '-0.040']","[7, '0.342', '0.548', '-0.053']","[8, '0.358', '0.575', '-0.058']","[9, '0.242', '0.580', '-0.020']","[10, '0.246', '0.475', '-0.037']","[11, '0.250', '0.406', '-0.050']","[12, '0.250', '0.350', '-0.061']","[13, '0.208', '0.586', '-0.032']","[14, '0.206', '0.486', '-0.051']","[15, '0.206', '0.419', '-0.062']","[16, '0.207', '0.360', '-0.069']","[17, '0.176', '0.610', '-0.049']","[18, '0.178', '0.533', '-0.069']","[19, '0.181', '0.476', '-0.077']","[20, '0.184', '0.423', '-0.082']"
24,"[0, '0.534', '0.706', '0.000']","[1, '0.617', '0.676', '0.015']","[2, '0.684', '0.620', '0.018']","[3, '0.748', '0.589', '0.010']","[4, '0.805', '0.570', '0.003']","[5, '0.643', '0.471', '0.040']","[6, '0.717', '0.456', '0.020']","[7, '0.766', '0.504', '0.008']","[8, '0.798', '0.551', '0.002']","[9, '0.630', '0.438', '0.008']","[10, '0.662', '0.323', '-0.005']","[11, '0.699', '0.251', '-0.022']","[12, '0.727', '0.192', '-0.038']","[13, '0.606', '0.435', '-0.029']","[14, '0.608', '0.303', '-0.043']","[15, '0.620', '0.217', '-0.051']","[16, '0.631', '0.148', '-0.060']","[17, '0.583', '0.456', '-0.069']","[18, '0.573', '0.350', '-0.084']","[19, '0.572', '0.275', '-0.089']","[20, '0.572', '0.208', '-0.094']"
25,"[0, '0.317', '0.843', '0.000']","[1, '0.369', '0.762', '-0.004']","[2, '0.385', '0.664', '0.005']","[3, '0.383', '0.574', '0.009']","[4, '0.387', '0.500', '0.014']","[5, '0.292', '0.633', '0.062']","[6, '0.307', '0.550', '0.067']","[7, '0.337', '0.508', '0.065']","[8, '0.364', '0.480', '0.064']","[9, '0.247', '0.623', '0.052']","[10, '0.218', '0.533', '0.067']","[11, '0.205', '0.465', '0.060']","[12, '0.190', '0.416', '0.051']","[13, '0.210', '0.634', '0.035']","[14, '0.162', '0.559', '0.040']","[15, '0.136', '0.498', '0.032']","[16, '0.116', '0.454', '0.024']","[17, '0.183', '0.659', '0.013']","[18, '0.127', '0.610', '0.009']","[19, '0.091', '0.570', '0.003']","[20, '0.062', '0.535', '-0.001']"
26,"[0, '0.400', '0.803', '0.000']","[1, '0.457', '0.741', '-0.025']","[2, '0.499', '0.662', '-0.031']","[3, '0.518', '0.585', '-0.038']","[4, '0.507', '0.531', '-0.043']","[5, '0.411', '0.572', '0.017']","[6, '0.430', '0.491', '0.007']","[7, '0.464', '0.491', '0.001']","[8, '0.491', '0.508', '-0.001']","[9, '0.368', '0.558', '0.013']","[10, '0.356', '0.451', '0.013']","[11, '0.359', '0.381', '0.004']","[12, '0.359', '0.324', '-0.007']","[13, '0.330', '0.571', '0.002']","[14, '0.296', '0.476', '-0.003']","[15, '0.285', '0.404', '-0.013']","[16, '0.282', '0.345', '-0.022']","[17, '0.297', '0.603', '-0.015']","[18, '0.254', '0.536', '-0.025']","[19, '0.236', '0.486', '-0.032']","[20, '0.227', '0.437', '-0.037']"
27,"[0, '0.422', '0.608', '0.000']","[1, '0.485', '0.628', '-0.031']","[2, '0.551', '0.614', '-0.047']","[3, '0.606', '0.592', '-0.063']","[4, '0.643', '0.558', '-0.078']","[5, '0.549', '0.464', '-0.015']","[6, '0.618', '0.447', '-0.040']","[7, '0.643', '0.492', '-0.055']","[8, '0.652', '0.535', '-0.063']","[9, '0.533', '0.413', '-0.021']","[10, '0.592', '0.330', '-0.041']","[11, '0.645', '0.285', '-0.062']","[12, '0.690', '0.246', '-0.081']","[13, '0.501', '0.387', '-0.035']","[14, '0.539', '0.284', '-0.056']","[15, '0.579', '0.223', '-0.077']","[16, '0.616', '0.176', '-0.092']","[17, '0.464', '0.382', '-0.052']","[18, '0.472', '0.291', '-0.073']","[19, '0.490', '0.232', '-0.088']","[20, '0.513', '0.183', '-0.099']"
28,"[0, '0.596', '0.645', '0.000']","[1, '0.672', '0.663', '-0.001']","[2, '0.748', '0.644', '-0.002']","[3, '0.812', '0.634', '-0.008']","[4, '0.864', '0.618', '-0.013']","[5, '0.738', '0.486', '0.038']","[6, '0.814', '0.494', '0.026']","[7, '0.847', '0.546', '0.017']","[8, '0.866', '0.597', '0.012']","[9, '0.732', '0.441', '0.020']","[10, '0.796', '0.361', '0.015']","[11, '0.857', '0.329', '0.002']","[12, '0.910', '0.312', '-0.011']","[13, '0.712', '0.416', '-0.005']","[14, '0.756', '0.304', '-0.012']","[15, '0.802', '0.250', '-0.019']","[16, '0.850', '0.216', '-0.027']","[17, '0.687', '0.409', '-0.034']","[18, '0.706', '0.309', '-0.043']","[19, '0.736', '0.253', '-0.047']","[20, '0.774', '0.213', '-0.050']"
29,"[0, '0.318', '0.799', '0.000']","[1, '0.382', '0.753', '-0.003']","[2, '0.420', '0.685', '0.005']","[3, '0.445', '0.614', '0.009']","[4, '0.461', '0.550', '0.014']","[5, '0.352', '0.602', '0.063']","[6, '0.387', '0.540', '0.074']","[7, '0.425', '0.528', '0.076']","[8, '0.458', '0.532', '0.077']","[9, '0.321', '0.576', '0.057']","[10, '0.326', '0.486', '0.079']","[11, '0.347', '0.429', '0.076']","[12, '0.370', '0.385', '0.070']","[13, '0.293', '0.570', '0.045']","[14, '0.279', '0.478', '0.060']","[15, '0.286', '0.415', '0.057']","[16, '0.300', '0.368', '0.051']","[17, '0.269', '0.577', '0.028']","[18, '0.243', '0.502', '0.035']","[19, '0.237', '0.447', '0.035']","[20, '0.240', '0.403', '0.034']"
30,"[0, '0.621', '0.775', '0.000']","[1, '0.531', '0.774', '-0.015']","[2, '0.459', '0.731', '-0.006']","[3, '0.393', '0.704', '0.016']","[4, '0.352', '0.679', '0.046']","[5, '0.472', '0.587', '-0.021']","[6, '0.388', '0.582', '-0.004']","[7, '0.358', '0.630', '0.018']","[8, '0.355', '0.668', '0.034']","[9, '0.497', '0.546', '0.002']","[10, '0.421', '0.459', '0.002']","[11, '0.379', '0.402', '0.006']","[12, '0.360', '0.344', '0.008']","[13, '0.522', '0.536', '0.028']","[14, '0.475', '0.449', '0.037']","[15, '0.442', '0.388', '0.039']","[16, '0.427', '0.328', '0.040']","[17, '0.547', '0.547', '0.056']","[18, '0.537', '0.465', '0.067']","[19, '0.541', '0.404', '0.070']","[20, '0.550', '0.354', '0.075']"
31,"[0, '0.556', '0.821', '0.000']","[1, '0.440', '0.785', '0.039']","[2, '0.357', '0.718', '0.056']","[3, '0.289', '0.662', '0.068']","[4, '0.266', '0.626', '0.085']","[5, '0.378', '0.589', '0.015']","[6, '0.297', '0.544', '0.029']","[7, '0.280', '0.566', '0.048']","[8, '0.280', '0.584', '0.057']","[9, '0.408', '0.542', '-0.005']","[10, '0.323', '0.425', '-0.014']","[11, '0.281', '0.352', '-0.015']","[12, '0.257', '0.287', '-0.019']","[13, '0.445', '0.528', '-0.018']","[14, '0.393', '0.401', '-0.018']","[15, '0.365', '0.318', '-0.017']","[16, '0.347', '0.248', '-0.019']","[17, '0.489', '0.537', '-0.026']","[18, '0.485', '0.421', '-0.020']","[19, '0.496', '0.349', '-0.015']","[20, '0.504', '0.289', '-0.013']"
32,"[0, '0.451', '0.864', '0.000']","[1, '0.481', '0.777', '0.009']","[2, '0.484', '0.690', '0.018']","[3, '0.475', '0.606', '0.019']","[4, '0.452', '0.546', '0.024']","[5, '0.356', '0.706', '0.076']","[6, '0.365', '0.616', '0.083']","[7, '0.396', '0.569', '0.081']","[8, '0.430', '0.540', '0.080']","[9, '0.318', '0.704', '0.061']","[10, '0.286', '0.622', '0.072']","[11, '0.286', '0.551', '0.064']","[12, '0.291', '0.490', '0.058']","[13, '0.285', '0.712', '0.039']","[14, '0.228', '0.641', '0.049']","[15, '0.212', '0.574', '0.048']","[16, '0.209', '0.515', '0.044']","[17, '0.262', '0.728', '0.015']","[18, '0.190', '0.688', '0.021']","[19, '0.156', '0.642', '0.025']","[20, '0.140', '0.594', '0.026']"
33,"[0, '0.468', '0.828', '0.000']","[1, '0.498', '0.755', '0.014']","[2, '0.503', '0.687', '0.028']","[3, '0.494', '0.615', '0.035']","[4, '0.478', '0.556', '0.043']","[5, '0.400', '0.708', '0.090']","[6, '0.411', '0.634', '0.108']","[7, '0.429', '0.589', '0.111']","[8, '0.454', '0.555', '0.112']","[9, '0.363', '0.703', '0.078']","[10, '0.342', '0.636', '0.103']","[11, '0.342', '0.571', '0.099']","[12, '0.350', '0.514', '0.092']","[13, '0.329', '0.708', '0.060']","[14, '0.289', '0.644', '0.083']","[15, '0.280', '0.577', '0.082']","[16, '0.285', '0.519', '0.076']","[17, '0.303', '0.720', '0.039']","[18, '0.244', '0.678', '0.056']","[19, '0.225', '0.631', '0.062']","[20, '0.224', '0.583', '0.063']"
34,"[0, '0.423', '0.837', '0.000']","[1, '0.488', '0.799', '-0.009']","[2, '0.541', '0.724', '-0.008']","[3, '0.582', '0.656', '-0.011']","[4, '0.601', '0.595', '-0.011']","[5, '0.476', '0.615', '0.040']","[6, '0.520', '0.557', '0.034']","[7, '0.558', '0.562', '0.029']","[8, '0.591', '0.582', '0.027']","[9, '0.445', '0.582', '0.030']","[10, '0.456', '0.481', '0.031']","[11, '0.490', '0.429', '0.023']","[12, '0.525', '0.393', '0.015']","[13, '0.413', '0.575', '0.012']","[14, '0.404', '0.464', '0.007']","[15, '0.419', '0.396', '-0.001']","[16, '0.444', '0.344', '-0.007']","[17, '0.386', '0.590', '-0.010']","[18, '0.363', '0.502', '-0.019']","[19, '0.360', '0.443', '-0.025']","[20, '0.368', '0.392', '-0.028']"
35,"[0, '0.410', '0.871', '0.000']","[1, '0.489', '0.839', '-0.011']","[2, '0.555', '0.778', '-0.012']","[3, '0.601', '0.709', '-0.016']","[4, '0.637', '0.650', '-0.019']","[5, '0.514', '0.651', '0.029']","[6, '0.561', '0.594', '0.018']","[7, '0.601', '0.600', '0.013']","[8, '0.628', '0.618', '0.013']","[9, '0.483', '0.616', '0.018']","[10, '0.504', '0.502', '0.019']","[11, '0.522', '0.427', '0.012']","[12, '0.533', '0.370', '0.004']","[13, '0.448', '0.613', '0.001']","[14, '0.461', '0.502', '-0.006']","[15, '0.476', '0.430', '-0.011']","[16, '0.490', '0.368', '-0.017']","[17, '0.413', '0.632', '-0.021']","[18, '0.434', '0.543', '-0.031']","[19, '0.452', '0.490', '-0.034']","[20, '0.466', '0.444', '-0.035']"
36,"[0, '0.365', '0.928', '0.000']","[1, '0.452', '0.867', '-0.012']","[2, '0.515', '0.769', '-0.006']","[3, '0.559', '0.674', '-0.007']","[4, '0.593', '0.596', '-0.008']","[5, '0.434', '0.640', '0.068']","[6, '0.485', '0.570', '0.066']","[7, '0.538', '0.560', '0.060']","[8, '0.582', '0.562', '0.056']","[9, '0.386', '0.598', '0.054']","[10, '0.392', '0.465', '0.066']","[11, '0.405', '0.379', '0.055']","[12, '0.408', '0.310', '0.042']","[13, '0.340', '0.596', '0.028']","[14, '0.319', '0.469', '0.026']","[15, '0.323', '0.384', '0.012']","[16, '0.328', '0.318', '0.000']","[17, '0.299', '0.621', '-0.003']","[18, '0.245', '0.533', '-0.015']","[19, '0.215', '0.471', '-0.025']","[20, '0.191', '0.412', '-0.032']"
37,"[0, '0.477', '0.808', '0.000']","[1, '0.568', '0.753', '0.030']","[2, '0.618', '0.699', '0.052']","[3, '0.653', '0.638', '0.062']","[4, '0.639', '0.575', '0.075']","[5, '0.521', '0.589', '0.109']","[6, '0.562', '0.514', '0.137']","[7, '0.598', '0.517', '0.150']","[8, '0.626', '0.538', '0.158']","[9, '0.484', '0.558', '0.088']","[10, '0.496', '0.441', '0.124']","[11, '0.525', '0.380', '0.130']","[12, '0.555', '0.329', '0.130']","[13, '0.453', '0.547', '0.062']","[14, '0.445', '0.436', '0.092']","[15, '0.462', '0.364', '0.100']","[16, '0.487', '0.318', '0.100']","[17, '0.431', '0.549', '0.035']","[18, '0.396', '0.460', '0.054']","[19, '0.385', '0.396', '0.063']","[20, '0.386', '0.347', '0.067']"
38,"[0, '0.444', '0.751', '0.000']","[1, '0.525', '0.710', '-0.023']","[2, '0.582', '0.630', '-0.025']","[3, '0.621', '0.539', '-0.029']","[4, '0.637', '0.470', '-0.033']","[5, '0.518', '0.539', '0.028']","[6, '0.561', '0.467', '0.022']","[7, '0.597', '0.445', '0.016']","[8, '0.630', '0.429', '0.011']","[9, '0.479', '0.499', '0.024']","[10, '0.500', '0.388', '0.026']","[11, '0.528', '0.313', '0.012']","[12, '0.551', '0.250', '-0.002']","[13, '0.438', '0.488', '0.012']","[14, '0.437', '0.373', '0.005']","[15, '0.455', '0.294', '-0.013']","[16, '0.474', '0.234', '-0.027']","[17, '0.400', '0.499', '-0.004']","[18, '0.372', '0.407', '-0.015']","[19, '0.365', '0.338', '-0.027']","[20, '0.363', '0.276', '-0.037']"
39,"[0, '0.244', '0.931', '0.000']","[1, '0.369', '0.857', '-0.007']","[2, '0.455', '0.752', '0.009']","[3, '0.508', '0.644', '0.016']","[4, '0.501', '0.566', '0.026']","[5, '0.356', '0.588', '0.106']","[6, '0.403', '0.480', '0.127']","[7, '0.439', '0.480', '0.134']","[8, '0.464', '0.505', '0.140']","[9, '0.299', '0.547', '0.097']","[10, '0.321', '0.394', '0.136']","[11, '0.355', '0.309', '0.137']","[12, '0.387', '0.247', '0.131']","[13, '0.240', '0.537', '0.075']","[14, '0.244', '0.388', '0.101']","[15, '0.271', '0.290', '0.097']","[16, '0.304', '0.223', '0.089']","[17, '0.185', '0.547', '0.047']","[18, '0.159', '0.419', '0.057']","[19, '0.156', '0.329', '0.056']","[20, '0.164', '0.253', '0.055']"
40,"[0, '0.365', '0.773', '0.000']","[1, '0.420', '0.725', '-0.022']","[2, '0.456', '0.642', '-0.039']","[3, '0.429', '0.567', '-0.058']","[4, '0.384', '0.516', '-0.073']","[5, '0.440', '0.514', '-0.015']","[6, '0.449', '0.397', '-0.046']","[7, '0.453', '0.331', '-0.063']","[8, '0.455', '0.268', '-0.074']","[9, '0.390', '0.524', '-0.024']","[10, '0.389', '0.485', '-0.065']","[11, '0.397', '0.584', '-0.060']","[12, '0.397', '0.609', '-0.045']","[13, '0.346', '0.550', '-0.039']","[14, '0.341', '0.518', '-0.075']","[15, '0.361', '0.611', '-0.053']","[16, '0.365', '0.630', '-0.031']","[17, '0.306', '0.588', '-0.060']","[18, '0.302', '0.556', '-0.080']","[19, '0.323', '0.614', '-0.067']","[20, '0.331', '0.633', '-0.051']"
41,"[0, '0.346', '0.778', '0.000']","[1, '0.396', '0.744', '-0.024']","[2, '0.434', '0.680', '-0.046']","[3, '0.421', '0.595', '-0.070']","[4, '0.408', '0.524', '-0.090']","[5, '0.510', '0.584', '-0.013']","[6, '0.573', '0.509', '-0.041']","[7, '0.612', '0.453', '-0.062']","[8, '0.647', '0.405', '-0.077']","[9, '0.464', '0.562', '-0.020']","[10, '0.461', '0.493', '-0.055']","[11, '0.425', '0.556', '-0.056']","[12, '0.413', '0.602', '-0.047']","[13, '0.418', '0.560', '-0.033']","[14, '0.405', '0.510', '-0.066']","[15, '0.385', '0.585', '-0.055']","[16, '0.387', '0.627', '-0.038']","[17, '0.374', '0.579', '-0.052']","[18, '0.366', '0.515', '-0.072']","[19, '0.356', '0.573', '-0.064']","[20, '0.361', '0.623', '-0.052']"
